Name,Country,Score,Type,Email,Email Source
Helsing,Germany,92,company,info@helsing.com,generic
Quantum Systems,Germany,88,company,info@quantum.com,generic
Comand AI,France,85,company,info@comand.com,generic
BforeAI,France/Global,82,company,info@bforeai.com,generic
VIZGARD,UK,80,company,info@vizgard.com,generic
RobCo,Germany,75,company,info@robco.com,generic
XRF.ai,Europe,72,company,info@xrfai.com,generic
Perciv AI,Europe,70,company,info@perciv.com,generic
MASNA Ventures,Saudi Arabia,95,fund,info@masna.vc,generic
Raphe mPhibr Investors,India,88,fund,info@raphe-mphibr.com,generic
iDEX Ecosystem Investors,India,85,fund,info@idex-ecosystem.com,generic
General Atlantic,Global/Middle East,82,fund,info@generalatlantic.com,generic
Blackstone,Global/Middle East,80,fund,info@blackstone.com,generic
